episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
40,1.0,0.20775384149510684,-2.1729681304316837,179.98661419482232,-30.0,1.0,[-30.0, 1.0],0.0,False,True,0.23334179197209642,0,59.99785047027138,201.253,prepare,0.0
40,2.0,0.20775390119104017,-2.172967009936901,179.98650760968496,30.0,0.5189030040974727,[30.0, 0.5189030040974727],1.0,False,True,0.23334169291509746,0,59.99785047027138,201.33,in_progress,0.0
40,3.0,0.2049431462013198,-2.1723450690667683,179.80711657688443,22.678142241050395,0.948189076422655,[22.678142241050395, 0.948189076422655],1.0,False,True,0.23802669637524765,0,59.99785047027138,201.393,in_progress,0.0
40,4.0,0.19141481655900572,-2.1720255177221066,179.68640259569526,19.43977628872878,0.7982461920248316,[19.43977628872878, 0.7982461920248316],1.0,False,True,0.2605748450359864,0,59.99785047027138,201.457,in_progress,0.0
40,5.0,0.1610400360397904,-2.175573067456085,-179.38436474335845,-7.371141963059451,0.5431719488421609,[-7.371141963059451, 0.5431719488421609],1.0,False,True,0.3111998991644223,1,59.99785047027138,201.523,in_progress,0.0
40,6.0,0.12310794886458504,-2.1785712279055907,-178.78747803162113,-16.32157412145839,0.9429726462768788,[-16.32157412145839, 0.9429726462768788],1.0,False,True,0.37442113092429885,1,59.99785047027138,201.591,in_progress,0.0
40,7.0,0.0708902316150149,-2.178482800237572,-179.12057751476488,30.0,0.8205822646234168,[30.0, 0.8205822646234168],1.0,False,True,0.46145380995525526,1,59.99785047027138,201.669,in_progress,0.0
40,8.0,0.020132692226490417,-2.1787336667103117,-179.27765874761508,-0.01937648276663495,1.0,[-0.01937648276663495, 1.0],1.0,False,True,0.5460606540478342,1,59.99785047027138,201.724,in_progress,0.0
40,9.0,-0.03372449606018707,-2.1823459803465584,-178.6422071311234,20.72819704398242,0.5,[20.72819704398242, 0.5],1.0,False,True,0.635829403523662,1,59.99785047027138,201.791,in_progress,0.0
40,10.0,-0.09089368971191106,-2.1890638117530483,-177.41072720519614,-6.849368963150731,1.0,[-6.849368963150731, 1.0],1.0,False,True,0.7311214269183037,1,59.99785047027138,201.842,in_progress,0.0
40,11.0,-0.15923647865139828,-2.196468420490546,-176.4915275047221,-30.0,1.0,[-30.0, 1.0],1.0,False,True,0.8450374515647044,2,59.99785047027138,201.917,in_progress,0.0
40,12.0,-0.2164590585937341,-2.1979805868223226,-177.00895669117926,-24.66519106044825,0.6117407675476463,[-24.66519106044825, 0.6117407675476463],1.0,False,True,0.9404133122007439,2,59.99785047027138,201.997,in_progress,0.0
40,13.0,-0.28588177838243556,-2.198406340658093,-177.73487044578354,-1.785617313041314,0.8827652131253274,[-1.785617313041314, 0.8827652131253274],1.0,False,True,1.0561058031768271,2,59.99785047027138,202.063,in_progress,0.0
40,14.0,-0.341393624976939,-2.1971922417958116,-178.53170235915576,10.684295419650113,0.5202482566401854,[10.684295419650113, 0.5202482566401854],1.0,False,True,1.1486284570785852,2,59.99785047027138,202.13,in_progress,0.0
40,15.0,-0.4023795694050073,-2.197918961234233,-178.7074985454447,21.77072653944513,0.9745781919882656,[21.77072653944513, 0.9745781919882656],1.0,False,True,1.2502755787073343,2,59.99785047027138,202.187,in_progress,0.0
40,16.0,-0.45998740782570147,-2.2019660404361816,-178.12667992850817,15.124277558467817,1.0,[15.124277558467817, 1.0],1.0,False,True,1.346293424933475,3,59.99785047027138,202.27,in_progress,0.0
40,17.0,-0.5260381932372211,-2.212161754941163,-176.31653908066176,10.660841225726536,0.5,[10.660841225726536, 0.5],1.0,False,True,1.4563853956403616,3,59.99785047027138,202.324,in_progress,0.0
40,18.0,-0.583987403299093,-2.2219634038455838,-174.86171793494063,-22.191813638842426,0.5,[-22.191813638842426, 0.5],1.0,False,True,1.5529741263860148,3,59.99785047027138,202.39,in_progress,0.0
40,19.0,-0.6420792485667093,-2.228729321787658,-174.5216196668998,-7.815604276097499,0.935988923737285,[-7.815604276097499, 0.935988923737285],1.0,False,True,1.6497077756035619,3,59.99785047027138,202.456,in_progress,0.0
40,20.0,-0.6940779731753058,-2.2353718654775308,-174.1534061149717,-5.415607958907486,0.5,[-5.415607958907486, 0.5],1.0,False,True,1.7363666257188912,3,59.99785047027138,202.526,in_progress,0.0
40,21.0,-0.7450104666546831,-2.244422157912732,-173.24983181173926,7.425243288413952,0.8664333152618537,[7.425243288413952, 0.8664333152618537],1.0,False,True,1.8212451824448286,3,59.99785047027138,202.597,in_progress,0.0
40,22.0,-0.799966533480506,-2.2576415963033214,-171.7280038585779,-30.0,1.0,[-30.0, 1.0],1.0,False,True,1.9128244293299783,4,59.99785047027138,202.658,in_progress,0.0
