episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
100,1.0,0.2077540841702943,-2.1729629991475647,179.98561788047445,24.722732921915025,1.0,[24.722732921915025, 1.0],0.0,False,True,0.23334138951282501,0,59.99785047027138,1175.131,prepare,0.0
100,2.0,0.20775390119096024,-2.1729670099369005,179.9865076096849,-21.988669893222948,1.0,[-21.988669893222948, 1.0],1.0,False,True,0.23334169291509746,0,59.99785047027138,1175.196,in_progress,0.0
100,3.0,0.2042434339399654,-2.1729053028042733,-179.97657080375464,-30.0,0.6849492492155664,[-30.0, 0.6849492492155664],1.0,False,True,0.23919270533862502,0,59.99785047027138,1175.256,in_progress,0.0
100,4.0,0.18455936174506057,-2.1689079732393424,179.13235643694827,-30.0,1.0,[-30.0, 1.0],1.0,False,True,0.27200223570098053,1,59.99785047027138,1175.32,in_progress,0.0
100,5.0,0.15547439928505086,-2.1552495241340726,175.8887813507684,-1.91062075033091,0.9903565570766663,[-1.91062075033091, 0.9903565570766663],1.0,False,True,0.3204842693201242,1,59.99785047027138,1175.398,in_progress,0.0
100,6.0,0.11484279016763757,-2.138931726326226,172.7190432186719,18.230956072004112,0.5,[18.230956072004112, 0.5],1.0,False,True,0.3882124467391076,1,59.99785047027138,1175.455,in_progress,0.0
100,7.0,0.0715504399618899,-2.1201902421353975,169.62075799570687,-24.361640282884032,0.5180021731340884,[-24.361640282884032, 0.5180021731340884],1.0,False,True,0.46037630266898044,1,59.99785047027138,1175.52,in_progress,0.0
100,8.0,0.028550218165619423,-2.1034293084444764,167.56381395741045,-13.988741288161567,0.9373819769799985,[-13.988741288161567, 0.9373819769799985],1.0,False,True,0.5319565449550854,1,59.99785047027138,1175.598,in_progress,0.0
100,9.0,-0.021576561289413612,-2.0796051425462383,164.6083306686727,-6.267094469804238,0.5309121272635884,[-6.267094469804238, 0.5309121272635884],0.5,False,True,0.6154806180890726,1,59.99785047027138,1175.653,in_progress,0.0
100,10.0,-0.07088554374885439,-2.0551712954657413,162.15267371715333,10.046690724076335,0.8714674124347149,[10.046690724076335, 0.8714674124347149],0.5,False,True,0.6976410452866528,1,59.99785047027138,1175.721,in_progress,0.0
100,11.0,-0.11957734806426076,-2.0338085468257456,160.92408455266067,30.0,0.9612897861552279,[30.0, 0.9612897861552279],0.5,False,True,0.7787758397496038,1,59.99785047027138,1175.798,in_progress,0.0
100,12.0,-0.17614688565639194,-2.00957359350929,159.87441715657027,30.0,0.7165609060246108,[30.0, 0.7165609060246108],0.5,False,True,0.8730378200821074,2,59.99785047027138,1175.858,in_progress,0.0
100,13.0,-0.23264554948521593,-1.9916018225876322,160.48342986186117,-30.0,0.850574791591571,[-30.0, 0.850574791591571],0.5,False,True,0.9671878611499903,2,59.99785047027138,1175.896,in_progress,0.0
100,14.0,-0.2879706898273223,-1.9762560647165246,161.34055098443812,-1.6620875806976159,0.5,[-1.6620875806976159, 0.5],0.5,False,True,1.0595136584859512,2,59.99785047027138,1175.997,in_progress,0.0
100,15.0,-0.3442188138712552,-1.9576894171418302,161.44562436670878,30.0,0.6110359473559213,[30.0, 0.6110359473559213],0.5,False,True,1.1532577216659328,2,59.99785047027138,1176.059,in_progress,0.0
100,16.0,-0.38598899088461774,-1.9450555392821935,161.80127027432937,30.0,0.5,[30.0, 0.5],0.5,False,True,1.222872979712338,2,59.99785047027138,1176.12,in_progress,0.0
100,17.0,-0.43325053580479767,-1.9368963530788772,163.44648618411148,30.0,0.5,[30.0, 0.5],0.1,False,True,1.301642331611683,2,59.99785047027138,1176.191,in_progress,0.0
100,18.0,-0.47800592771819067,-1.9347607574889631,165.9951181013087,30.0,0.5,[30.0, 0.5],0.1,False,True,1.3762366130388826,3,59.99785047027138,1176.254,in_progress,0.0
100,19.0,-0.5116893540939258,-1.9361943936206862,168.3082984151353,30.0,1.0,[30.0, 1.0],0.1,False,True,1.4323781433548164,3,59.99785047027138,1176.321,in_progress,0.0
100,20.0,-0.5588129637907977,-1.943291608765118,172.1934380087678,30.0,1.0,[30.0, 1.0],0.1,False,True,1.5109226624806606,3,59.99785047027138,1176.37,in_progress,0.0
100,21.0,-0.6058404196890268,-1.9522228699220763,175.69597298311166,16.691322308003024,1.0,[16.691322308003024, 1.0],0.5,False,True,1.5896725906301474,3,59.99785047027138,1176.45,in_progress,0.0
100,22.0,-0.6714173468954843,-1.9677543532192585,-179.78432280133904,10.578539790727874,1.0,[10.578539790727874, 1.0],0.5,False,True,1.6989508480533946,3,59.99785047027138,1176.522,in_progress,0.0
100,23.0,-0.733477470035941,-1.987218175287001,-175.4676909001772,1.1707310693947477,0.8225105425559995,[1.1707310693947477, 0.8225105425559995],0.5,False,True,1.8023623662467445,3,59.99785047027138,1176.598,in_progress,0.0
100,24.0,-0.7947955689382005,-2.0068396120311705,-172.15752249340255,-17.457376162555377,0.8156556564047399,[-17.457376162555377, 0.8156556564047399],0.5,False,True,1.9045369253945763,4,59.99785047027138,1176.658,in_progress,0.0
100,25.0,-0.8495339326827085,-2.023688086358052,-170.02338008813183,-17.361778226509223,0.7689361476187719,[-17.361778226509223, 0.7689361476187719],0.5,False,True,1.9957485303411464,4,59.99785047027138,1176.694,in_progress,0.0
100,26.0,-0.9073687119481406,-2.039941358957023,-168.6407369223885,-9.903161181123657,0.5,[-9.903161181123657, 0.5],0.5,False,True,2.0921217968032986,4,59.99785047027138,1176.795,in_progress,0.0
100,27.0,-0.9619674367259012,-2.056371395782353,-167.3990301726608,-1.8375900471819193,0.7607069635306167,[-1.8375900471819193, 0.7607069635306167],0.5,False,True,2.1829876293803503,4,59.99785047027138,1176.849,in_progress,0.0
100,28.0,-1.0043827130401348,-2.069648967035916,-166.5695042921294,17.095995779670183,1.0,[17.095995779670183, 1.0],0.5,False,True,2.253677702213957,4,59.99785047027138,1176.931,in_progress,0.0
100,29.0,-1.0647139277500575,-2.0904423845538407,-165.20045961114545,-30.0,0.6714180292069911,[-30.0, 0.6714180292069911],1.0,False,True,2.35422614586186,4,59.99785047027138,1176.971,in_progress,0.0
100,30.0,-1.1156108156092952,-2.108538870845399,-164.14696803275547,27.422563028530668,0.7956574756712604,[27.422563028530668, 0.7956574756712604],1.0,False,True,2.4390510798326885,5,59.99785047027138,1177.066,in_progress,0.0
100,31.0,-1.1665567901987728,-2.129525179566123,-162.73162567691364,-12.188675953190685,0.8797154772710498,[-12.188675953190685, 0.8797154772710498],1.0,False,True,2.523956829927671,5,59.99785047027138,1177.135,in_progress,0.0
100,32.0,-1.2212095291337628,-2.152882469291626,-161.377572028926,-21.2119517874544,0.5964854614256777,[-21.2119517874544, 0.5964854614256777],1.0,False,True,2.6150399229652406,5,59.99785047027138,1177.169,in_progress,0.0
100,33.0,-1.272610282458176,-2.1708075451953515,-161.21375284553307,21.638399084667704,0.6715034322283786,[21.638399084667704, 0.6715034322283786],1.0,False,True,2.7007008211553765,5,59.99785047027138,1177.243,in_progress,0.0
100,34.0,-1.3248330724477422,-2.189771052851342,-160.97080475713832,28.563605929536713,0.5,[28.563605929536713, 0.5],1.0,False,True,2.7877711289385845,5,59.99785047027138,1177.324,in_progress,0.0
