episode,steps,X,Y,yaw,steer,throttle,action,reward,done,all_wheels_on_track,progress,closest_waypoint,track_len,tstamp,episode_status,pause_duration
80,1.0,0.20775386990617126,-2.1729678611659935,179.9866542774413,-26.88709352322295,0.5,[-26.88709352322295, 0.5],0.0,False,True,0.23334174472422298,0,59.99785047027138,698.91,prepare,0.0
80,2.0,0.20812706063737643,-2.173240352445344,-179.94748069385747,-30.0,0.6744484117777005,[-30.0, 0.6744484117777005],1.0,False,True,0.23271963095516968,0,59.99785047027138,698.994,in_progress,0.0
80,3.0,0.2036748485068883,-2.173616193588953,-179.85488170646002,-24.246148400773237,0.9303946637265736,[-24.246148400773237, 0.9303946637265736],1.0,False,True,0.2401401026330382,0,59.99785047027138,699.058,in_progress,0.0
80,4.0,0.18797788613683442,-2.1733128419142695,-179.91162190587997,0.646692633621015,1.0,[0.646692633621015, 1.0],1.0,False,True,0.2663027622067621,1,59.99785047027138,699.117,in_progress,0.0
80,5.0,0.15712286058820135,-2.1711202971106154,179.50037227150645,-30.0,0.5,[-30.0, 0.5],1.0,False,True,0.3177305063113584,1,59.99785047027138,699.178,in_progress,0.0
80,6.0,0.11738205475813632,-2.1655740273246993,178.32111185423784,16.5144737875547,0.9449856457920487,[16.5144737875547, 0.9449856457920487],1.0,False,True,0.38396973069867374,1,59.99785047027138,699.247,in_progress,0.0
80,7.0,0.07792934163057885,-2.157246500134357,176.5709355692794,-25.957420299567993,1.0,[-25.957420299567993, 1.0],1.0,False,True,0.44972987501341055,1,59.99785047027138,699.329,in_progress,0.0
80,8.0,0.030889349758282114,-2.147345110747666,174.94640472582327,16.776635800728073,0.7673618483159745,[16.776635800728073, 0.7673618483159745],1.0,False,True,0.5281012411527038,1,59.99785047027138,699.35,in_progress,0.0
80,9.0,-0.021613316308608452,-2.13611731651234,173.41235929354778,30.0,0.6131635672510403,[30.0, 0.6131635672510403],1.0,False,True,0.6155977114141324,1,59.99785047027138,699.457,in_progress,0.0
80,10.0,-0.07937294341568091,-2.1293068925591574,173.39636820400054,-12.494780285109467,0.5988248082462362,[-12.494780285109467, 0.5988248082462362],1.0,False,True,0.7118604600337901,1,59.99785047027138,699.523,in_progress,0.0
80,11.0,-0.12121016411420471,-2.126262958754258,173.87991125296344,-5.794177995974984,0.7955083891263509,[-5.794177995974984, 0.7955083891263509],1.0,False,True,0.7815886397628478,1,59.99785047027138,699.588,in_progress,0.0
80,12.0,-0.1693881778819789,-2.121276494180061,173.9085551086196,30.0,0.7098739266254561,[30.0, 0.7098739266254561],1.0,False,True,0.8618832655235739,2,59.99785047027138,699.656,in_progress,0.0
80,13.0,-0.21825436898900327,-2.120229838047868,174.906416559574,-21.40543902529615,0.913695947889026,[-21.40543902529615, 0.913695947889026],1.0,False,True,0.9433287868502824,2,59.99785047027138,699.721,in_progress,0.0
80,14.0,-0.2778953006361551,-2.119874056150574,175.97289647945067,-30.0,1.0,[-30.0, 1.0],1.0,False,True,1.0427335318643314,2,59.99785047027138,699.793,in_progress,0.0
80,15.0,-0.3388180163135499,-2.1119741371591054,175.10414035110077,30.0,0.7945106743048735,[30.0, 0.7945106743048735],1.0,False,True,1.1443073166060505,2,59.99785047027138,699.863,in_progress,0.0
80,16.0,-0.3974331646043401,-2.104484736943691,174.50737434849427,10.290166543991127,0.64858774819742,[10.290166543991127, 0.64858774819742],1.0,False,True,1.2420002408254491,2,59.99785047027138,699.927,in_progress,0.0
80,17.0,-0.4517209870671546,-2.1008222320926238,174.8747046726281,2.6101011412567843,0.7660881064932583,[2.6101011412567843, 0.7660881064932583],1.0,False,True,1.3324819682087394,3,59.99785047027138,699.99,in_progress,0.0
80,18.0,-0.5086512651797938,-2.0951498669667328,174.7418323282386,-1.8416645097515136,0.6459999428961851,[-1.8416645097515136, 0.6459999428961851],1.0,False,True,1.427367278452665,3,59.99785047027138,700.065,in_progress,0.0
80,19.0,-0.5595247213278418,-2.0871056088327236,173.97324102873657,6.918371272161167,0.5,[6.918371272161167, 0.5],1.0,False,True,1.5121567361248083,3,59.99785047027138,700.121,in_progress,0.0
80,20.0,-0.6101958819735283,-2.0805838595605186,173.7000523372292,30.0,0.5,[30.0, 0.5],0.5,False,True,1.5967625066431488,3,59.99785047027138,700.199,in_progress,0.0
80,21.0,-0.655826453910908,-2.0775216971166177,174.17405846092694,-30.0,0.5,[-30.0, 0.5],0.5,False,True,1.6728202029501669,3,59.99785047027138,700.262,in_progress,0.0
80,22.0,-0.6970835706178533,-2.0756777502179613,174.73457743275998,11.832832417496547,0.7059684111471245,[11.832832417496547, 0.7059684111471245],0.5,False,True,1.7415869402173174,3,59.99785047027138,700.331,in_progress,0.0
80,23.0,-0.7442113119144743,-2.073946917835161,175.33714913823397,-14.465312917858878,0.7460179867896285,[-14.465312917858878, 0.7460179867896285],0.5,False,True,1.820138249955134,3,59.99785047027138,700.396,in_progress,0.0
