Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
73,3.0,0.0,0.0,1542.0,13.0,64.0,4690.0,0.1,40.50599999999999,0.0,0.0,972.0943067073822,,,,,,,,,,,,,,,,,,,,,15.524176814936215,12.423223787548409,39.591596284817435,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,1565.0,14.0,23.0,4713.0,0.1,9.005999999999995,0.0,0.0,974.6463422775269,,,,,,,,,,,,,,,,,,,,,2.5825402232666366,3.0871633568737615,8.964521653650515,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,1593.0,15.0,28.0,4741.0,0.1,12.007999999999994,0.0,0.0,977.5472302436829,,,,,,,,,,,,,,,,,,,,,3.401988612991342,4.106704609629007,11.936605593417486,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,1674.0,16.0,81.0,4822.0,0.1,45.309999999999995,0.0,0.0,985.5741488933563,,,,,,,,,,,,,,,,,,,,,16.547373596776346,13.613161135977137,44.05773414922543,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1703.0,17.0,29.0,4851.0,0.1,8.808999999999992,0.0,0.0,988.5513672828674,,,,,,,,,,,,,,,,,,,,,2.1261479566994685,2.8201211361646488,8.76486266973251,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,1790.0,18.0,87.0,4938.0,0.1,60.705,0.0,0.0,996.9140779972076,,,,,,,,,,,,,,,,,,,,,25.465823169492424,17.987669385831335,58.6066280336935,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,1848.0,19.0,58.0,4996.0,0.1,36.507,0.0,0.0,1002.8851807117462,,,,,,,,,,,,,,,,,,,,,12.936816316353067,12.002518751318341,35.828285396158435,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,1967.0,20.0,119.0,5115.0,0.1,58.31700000000001,0.0,0.0,1014.3959655761719,,,,,,,,,,,,,,,,,,,,,19.6391933353703,15.955208540795313,56.092064029085094,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,4.0,0.0,0.0,293.0,1.0,293.0,5408.0,0.1,189.8089999999999,0.0,0.0,1363.2593286037445,,,,,,,,,,,,,,,,,,,,,74.87226015004218,53.449223985224414,168.20767491819927,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,4.0,0.0,0.0,705.0,2.0,412.0,5820.0,0.1,244.40599999999958,0.0,0.0,1402.1974320411682,,,,,,,,,,,,,,,,,,,,,101.51550521695148,59.95527281105431,202.9873836304932,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,4.0,0.0,0.0,895.0,3.0,190.0,6010.0,0.1,149.40599999999995,0.0,0.0,1420.1033442020416,,,,,,,,,,,,,,,,,,,,,61.04385010329159,41.79860595191759,138.0836977922613,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,4.0,0.0,0.0,1086.0,4.0,191.0,6201.0,0.1,119.10600000000007,0.0,0.0,1438.3396363258362,,,,,,,,,,,,,,,,,,,,,58.61423304230079,31.344655919486076,108.12682701612583,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,4.0,0.0,0.0,1198.0,5.0,112.0,6313.0,0.1,65.50500000000002,0.0,0.0,1448.9751088619232,,,,,,,,,,,,,,,,,,,,,29.380684543761244,18.440870345957414,62.33897895001986,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,4.0,0.0,0.0,1336.0,6.0,138.0,6451.0,0.1,84.2119999999999,0.0,0.0,1462.3956348896027,,,,,,,,,,,,,,,,,,,,,31.580793137226465,25.439650408104438,80.01379812952368,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,4.0,0.0,0.0,1450.0,7.0,114.0,6565.0,0.1,56.70600000000004,0.0,0.0,1473.282558441162,,,,,,,,,,,,,,,,,,,,,24.857191039697682,14.79217846026971,53.9801866145169,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,4.0,0.0,0.0,1505.0,8.0,55.0,6620.0,0.1,38.705999999999996,0.0,0.0,1478.5423061847687,,,,,,,,,,,,,,,,,,,,,14.642367674615253,12.916432270018406,37.9765849712537,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,4.0,0.0,0.0,1548.0,9.0,43.0,6663.0,0.1,24.80700000000002,0.0,0.0,1482.8341822624207,,,,,,,,,,,,,,,,,,,,,8.178393488734526,8.409290785732267,24.504313202075362,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,4.0,0.0,0.0,1631.0,10.0,83.0,6746.0,0.1,50.90899999999999,0.0,0.0,1490.6745104789734,,,,,,,,,,,,,,,,,,,,,20.792116788750647,15.949727827843294,49.281768561888924,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,4.0,0.0,0.0,1802.0,11.0,171.0,6917.0,0.1,83.10600000000008,0.0,0.0,1507.1546938419342,,,,,,,,,,,,,,,,,,,,,36.55775163416053,20.027879840133476,77.00856459117634,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,4.0,0.0,0.0,1943.0,12.0,141.0,7058.0,0.1,83.90500000000003,0.0,0.0,1520.898813009262,,,,,,,,,,,,,,,,,,,,,37.86875752954173,21.839681151126907,78.72287220988215,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,4.0,0.0,0.0,1973.0,13.0,30.0,7088.0,0.1,13.305999999999994,0.0,0.0,1523.937195301056,,,,,,,,,,,,,,,,,,,,,3.865109334588077,4.492868672898148,13.21646643636866,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,4.0,0.0,0.0,2152.0,14.0,179.0,7267.0,0.1,132.30499999999992,0.0,0.0,1540.884352684021,,,,,,,,,,,,,,,,,,,,,55.670564510649776,36.2377262959123,122.58501640037808,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,4.0,0.0,0.0,2290.0,15.0,138.0,7405.0,0.1,77.60600000000002,0.0,0.0,1554.487295627594,,,,,,,,,,,,,,,,,,,,,39.149107651266625,23.288917160879233,72.34804688985807,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,4.0,0.0,0.0,2339.0,16.0,49.0,7454.0,0.1,27.607000000000017,0.0,0.0,1559.3050303459167,,,,,,,,,,,,,,,,,,,,,10.084556707187842,8.812444858430005,27.167163881947808,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,4.0,0.0,0.0,2454.0,17.0,115.0,7569.0,0.1,58.80600000000002,0.0,0.0,1570.7945215702057,,,,,,,,,,,,,,,,,,,,,23.65010719676827,17.15184114558595,56.198578631055135,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,4.0,0.0,0.0,2695.0,18.0,241.0,7810.0,0.1,156.207,0.0,0.0,1594.258908033371,,,,,,,,,,,,,,,,,,,,,74.13671386993055,41.77891435707532,138.6171476354701,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,4.0,0.0,0.0,2822.0,19.0,127.0,7937.0,0.1,79.60799999999998,0.0,0.0,1606.7982470989227,,,,,,,,,,,,,,,,,,,,,31.813339849697083,23.740858902002486,75.71906825653326,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,4.0,0.0,0.0,2891.0,20.0,69.0,8006.0,0.1,50.105,0.0,0.0,1613.7664546966553,,,,,,,,,,,,,,,,,,,,,20.060461447290855,15.78821844735943,48.818416174068894,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,5.0,0.0,0.0,381.0,1.0,381.0,8387.0,0.1,254.51099999999983,0.0,0.0,2149.000200510025,,,,,,,,,,,,,,,,,,,,,103.2094821295315,67.9061625014351,215.61921010965776,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,5.0,0.0,0.0,490.0,2.0,109.0,8496.0,0.1,77.607,0.0,0.0,2159.4457828998566,,,,,,,,,,,,,,,,,,,,,30.60540224141986,23.151127523972693,74.41977628848595,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,5.0,0.0,0.0,861.0,3.0,371.0,8867.0,0.1,227.71399999999986,0.0,0.0,2195.2127919197083,,,,,,,,,,,,,,,,,,,,,93.90269088241426,57.92016068622987,193.26243328676455,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,5.0,0.0,0.0,1100.0,4.0,239.0,9106.0,0.1,130.90899999999965,0.0,0.0,2218.239096879959,,,,,,,,,,,,,,,,,,,,,47.70581391607033,35.660732989207595,119.74668409556627,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,5.0,0.0,0.0,1245.0,5.0,145.0,9251.0,0.1,84.108,0.0,0.0,2232.4084165096283,,,,,,,,,,,,,,,,,,,,,39.04571844481743,23.620373473850723,78.60349922044314,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,5.0,0.0,0.0,1406.0,6.0,161.0,9412.0,0.1,113.10499999999999,0.0,0.0,2247.918140888214,,,,,,,,,,,,,,,,,,,,,46.333401551950026,31.0827456012399,105.85693035391358,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,5.0,0.0,0.0,1580.0,7.0,174.0,9586.0,0.1,102.80700000000002,0.0,0.0,2264.874440908432,,,,,,,,,,,,,,,,,,,,,49.71605436274706,29.953402661323228,94.34500220028042,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,5.0,0.0,0.0,1628.0,8.0,48.0,9634.0,0.1,26.006000000000014,0.0,0.0,2269.5795290470123,,,,,,,,,,,,,,,,,,,,,10.110870048184216,8.314989430460743,25.57179625840771,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,5.0,0.0,0.0,1741.0,9.0,113.0,9747.0,0.1,34.70900000000007,0.0,0.0,2280.549622774124,,,,,,,,,,,,,,,,,,,,,12.498851314435035,8.56865868174503,33.36332308431441,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,5.0,0.0,0.0,2744.0,10.0,1003.0,10750.0,0.1,584.9260000000035,0.0,0.0,2377.1020114421844,,,,,,,,,,,,,,,,,,,,,208.99866118017445,103.56736341683491,376.05207092606577,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,5.0,0.0,0.0,2940.0,11.0,196.0,10946.0,0.1,133.10499999999993,0.0,0.0,2395.782326936722,,,,,,,,,,,,,,,,,,,,,57.40097311571195,35.50601835753966,122.09848413911467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,5.0,0.0,0.0,3202.0,12.0,262.0,11208.0,0.1,168.1059999999998,0.0,0.0,2420.5202510356903,,,,,,,,,,,,,,,,,,,,,76.54158142773902,40.363341978831066,148.34865462653084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,5.0,0.0,0.0,3279.0,13.0,77.0,11285.0,0.1,52.705,0.0,0.0,2427.97505736351,,,,,,,,,,,,,,,,,,,,,20.693402597865685,16.111827196213902,51.213984755490564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,5.0,0.0,0.0,3309.0,14.0,30.0,11315.0,0.1,12.305999999999994,0.0,0.0,2431.0551710128784,,,,,,,,,,,,,,,,,,,,,3.516771260242855,4.068892841755412,12.22493450627075,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,5.0,0.0,0.0,3431.0,15.0,122.0,11437.0,0.1,83.405,0.0,0.0,2443.4898726940155,,,,,,,,,,,,,,,,,,,,,35.98399514927198,24.10729419341304,79.17321985828549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,5.0,0.0,0.0,3503.0,16.0,72.0,11509.0,0.1,54.404999999999994,0.0,0.0,2450.5702183246613,,,,,,,,,,,,,,,,,,,,,22.46012341808713,16.81869119492811,52.89360543115459,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,5.0,0.0,0.0,3607.0,17.0,104.0,11613.0,0.1,49.306999999999995,0.0,0.0,2460.502162218094,,,,,,,,,,,,,,,,,,,,,22.09175352276443,15.4661249860414,47.10361776554582,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,5.0,0.0,0.0,4214.0,18.0,607.0,12220.0,0.1,403.70700000000045,0.0,0.0,2518.131187915802,,,,,,,,,,,,,,,,,,,,,165.02749748001017,94.04528306213905,304.14329146928105,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,5.0,0.0,0.0,4273.0,19.0,59.0,12279.0,0.1,35.206999999999994,0.0,0.0,2524.053957462311,,,,,,,,,,,,,,,,,,,,,14.119111882674115,11.603308699379657,34.44282360330524,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5.0,0.0,0.0,4527.0,20.0,254.0,12533.0,0.1,172.00999999999982,0.0,0.0,2548.3009519577026,,,,,,,,,,,,,,,,,,,,,62.518021736785585,47.68768523608055,156.4431523403849,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,6.0,0.0,0.0,126.0,1.0,126.0,12659.0,0.1,67.11300000000003,0.0,0.0,3295.89222073555,,,,,,,,,,,,,,,,,,,,,24.335588810277304,18.80260021264808,64.1750016381798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,6.0,0.0,0.0,250.0,2.0,124.0,12783.0,0.1,78.90699999999998,0.0,0.0,3307.9036407470703,,,,,,,,,,,,,,,,,,,,,32.640287234741024,23.825869865228885,75.0095484702842,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,6.0,0.0,0.0,599.0,3.0,349.0,13132.0,0.1,229.3049999999999,0.0,0.0,3340.429956436157,,,,,,,,,,,,,,,,,,,,,101.40990624707686,57.649554915159904,194.30135112066043,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,6.0,0.0,0.0,807.0,4.0,208.0,13340.0,0.1,141.70599999999993,0.0,0.0,3359.740179538727,,,,,,,,,,,,,,,,,,,,,57.5148655381785,38.61078388451423,130.00278353234,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,6.0,0.0,0.0,1037.0,5.0,230.0,13570.0,0.1,142.50499999999994,0.0,0.0,3381.7919924259186,,,,,,,,,,,,,,,,,,,,,65.06040566199587,39.06941268966252,127.79657204525948,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,6.0,0.0,0.0,1125.0,6.0,88.0,13658.0,0.1,69.30599999999998,0.0,0.0,3390.6497840881348,,,,,,,,,,,,,,,,,,,,,28.002613604624663,22.152353145249762,66.97565433581032,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,6.0,0.0,0.0,1224.0,7.0,99.0,13757.0,0.1,74.106,0.0,0.0,3400.512328147888,,,,,,,,,,,,,,,,,,,,,30.684027032268325,22.102681783603458,71.21063137592593,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,6.0,0.0,0.0,1277.0,8.0,53.0,13810.0,0.1,25.606000000000023,0.0,0.0,3405.6928679943085,,,,,,,,,,,,,,,,,,,,,8.844947053629182,8.222716925654002,25.187567754098097,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,6.0,0.0,0.0,1628.0,9.0,351.0,14161.0,0.1,238.1089999999997,0.0,0.0,3439.332214832306,,,,,,,,,,,,,,,,,,,,,92.13466941388809,60.36498020377383,206.1818886310988,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,6.0,0.0,0.0,1674.0,10.0,46.0,14207.0,0.1,28.30700000000002,0.0,0.0,3443.7358264923096,,,,,,,,,,,,,,,,,,,,,9.712877462617442,9.610501192326023,27.916011744196254,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,6.0,0.0,0.0,1846.0,11.0,172.0,14379.0,0.1,100.10699999999997,0.0,0.0,3460.0277020931244,,,,,,,,,,,,,,,,,,,,,43.356260905791935,27.395913893793,92.83530089068431,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,6.0,0.0,0.0,1884.0,12.0,38.0,14417.0,0.1,17.508000000000024,0.0,0.0,3463.9726033210754,,,,,,,,,,,,,,,,,,,,,4.960956043868187,5.848367442417746,17.354174665489325,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,6.0,0.0,0.0,1988.0,13.0,104.0,14521.0,0.1,64.90799999999999,0.0,0.0,3473.9419236183167,,,,,,,,,,,,,,,,,,,,,23.738649069358733,19.647660742532302,62.56424642539104,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,6.0,0.0,0.0,2081.0,14.0,93.0,14614.0,0.1,42.51099999999998,0.0,0.0,3482.736218214035,,,,,,,,,,,,,,,,,,,,,17.988786028610832,13.911331277701986,40.91984166282318,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,6.0,0.0,0.0,2177.0,15.0,96.0,14710.0,0.1,62.407999999999994,0.0,0.0,3492.032672405243,,,,,,,,,,,,,,,,,,,,,25.10164081079807,19.468456395201063,60.118419202148495,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,6.0,0.0,0.0,2616.0,16.0,439.0,15149.0,0.1,315.00700000000006,0.0,0.0,3533.9772589206696,,,,,,,,,,,,,,,,,,,,,128.77961978368288,74.20506612698296,258.9904688622188,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,6.0,0.0,0.0,2732.0,17.0,116.0,15265.0,0.1,38.42600000000004,0.0,0.0,3545.2125244140625,,,,,,,,,,,,,,,,,,,,,12.537563888134885,10.687683109392099,37.04569693715374,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,6.0,0.0,0.0,2870.0,18.0,138.0,15403.0,0.1,45.72500000000001,0.0,0.0,3558.7717955112457,,,,,,,,,,,,,,,,,,,,,14.887686935136104,12.531307800894316,43.75797138775536,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,6.0,0.0,0.0,2916.0,19.0,46.0,15449.0,0.1,30.706000000000017,0.0,0.0,3563.4838955402374,,,,,,,,,,,,,,,,,,,,,11.254522717403253,10.417119751404115,30.24875922468961,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,6.0,0.0,0.0,3177.0,20.0,261.0,15710.0,0.1,171.90699999999998,0.0,0.0,3588.2662777900696,,,,,,,,,,,,,,,,,,,,,73.32601489937065,45.60861010725507,153.0749068500576,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
