Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,0.0,0.0,0.0,689.0,18.0,31.0,689.0,0.1,16.205000000000005,0.0,0.0,66.61750054359436,,,,,,,,,,,,,,,,,,,,,5.218430421333758,5.559181405658407,16.07536330819173,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,798.0,19.0,109.0,798.0,0.1,42.61800000000001,0.0,0.0,77.13964939117432,,,,,,,,,,,,,,,,,,,,,15.086346787945155,11.055507814777423,41.055658461378286,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,852.0,20.0,54.0,852.0,0.1,24.507000000000023,0.0,0.0,82.4789822101593,,,,,,,,,,,,,,,,,,,,,7.910188461006658,7.54992118884947,24.128081858741265,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,52.0,1.0,52.0,904.0,0.1,36.205999999999996,0.0,0.0,222.3172402381897,,,,,,,,,,,,,,,,,,,,,13.617767290902641,12.147855464713947,35.56897848887231,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,100.0,2.0,48.0,952.0,0.1,24.80800000000003,0.0,0.0,227.03732657432556,,,,,,,,,,,,,,,,,,,,,7.412688740200276,8.268517117992051,24.50116877685532,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,129.0,3.0,29.0,981.0,0.1,14.006999999999994,0.0,0.0,229.9568395614624,,,,,,,,,,,,,,,,,,,,,4.2770927249784245,4.831865088298674,13.910771944091868,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,181.0,4.0,52.0,1033.0,0.1,35.706999999999994,0.0,0.0,235.194260597229,,,,,,,,,,,,,,,,,,,,,13.237762584593574,12.03210262413579,35.08877881445122,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,211.0,5.0,30.0,1063.0,0.1,14.606999999999994,0.0,0.0,238.22769594192505,,,,,,,,,,,,,,,,,,,,,4.425950938531006,5.045114014185179,14.50321339542152,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,252.0,6.0,41.0,1104.0,0.1,16.507000000000012,0.0,0.0,242.5168628692627,,,,,,,,,,,,,,,,,,,,,4.869194425335743,5.19824764360872,16.340026742018534,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,284.0,7.0,32.0,1136.0,0.1,12.407999999999992,0.0,0.0,245.71588516235352,,,,,,,,,,,,,,,,,,,,,3.2559538380191317,4.090283878396898,12.328454056843018,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,310.0,8.0,26.0,1162.0,0.1,11.105999999999995,0.0,0.0,248.30893278121948,,,,,,,,,,,,,,,,,,,,,3.240987025010736,3.7936717307964445,11.043810915369546,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,337.0,9.0,27.0,1189.0,0.1,15.003999999999996,0.0,0.0,251.05843663215637,,,,,,,,,,,,,,,,,,,,,5.178957830245292,5.2098038653600955,14.893941126896046,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,375.0,10.0,38.0,1227.0,0.1,18.007000000000023,0.0,0.0,254.93675255775452,,,,,,,,,,,,,,,,,,,,,5.259375425995332,6.005750792479408,17.842811514028725,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,425.0,11.0,50.0,1277.0,0.1,29.006000000000014,0.0,0.0,259.81257343292236,,,,,,,,,,,,,,,,,,,,,11.122227520894826,9.069850060892469,28.506873864811016,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,456.0,12.0,31.0,1308.0,0.1,11.906999999999993,0.0,0.0,263.16276955604553,,,,,,,,,,,,,,,,,,,,,3.19940174184664,3.903881338563833,11.831469653840783,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,496.0,13.0,40.0,1348.0,0.1,21.40600000000002,0.0,0.0,267.2673759460449,,,,,,,,,,,,,,,,,,,,,6.801375579147695,7.193256589931729,21.17627635326427,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,514.0,14.0,18.0,1366.0,0.1,6.405,0.0,0.0,269.14287519454956,,,,,,,,,,,,,,,,,,,,,1.8658438423212493,2.250134081730187,6.384176780221881,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,547.0,15.0,33.0,1399.0,0.1,13.209999999999992,0.0,0.0,272.4802029132843,,,,,,,,,,,,,,,,,,,,,3.4454221367479576,4.405060755378149,13.122533012980268,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,587.0,16.0,40.0,1439.0,0.1,21.006000000000014,0.0,0.0,276.54911613464355,,,,,,,,,,,,,,,,,,,,,7.805280942682029,6.792371336826378,20.73523850406234,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,634.0,17.0,47.0,1486.0,0.1,25.506000000000014,0.0,0.0,281.28679275512695,,,,,,,,,,,,,,,,,,,,,9.929027764503399,8.159197092454693,25.089489584748247,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,660.0,18.0,26.0,1512.0,0.1,11.605999999999995,0.0,0.0,283.9738254547119,,,,,,,,,,,,,,,,,,,,,3.432431636361732,4.00837638179555,11.539824887404519,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,727.0,19.0,67.0,1579.0,0.1,32.609,0.0,0.0,290.50225949287415,,,,,,,,,,,,,,,,,,,,,10.56732867986731,10.474455376001563,31.964886787136386,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
